STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,ADDRES_M,CITY_M,ZIP_M,ZIP4_M,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,F_POPLSA,POPU_UND,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE_ADD,LOCALE_MOD,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOMATCH
IL,IL0001,30372,"JOHN MOSSER PUBLIC LIBRARY DISTRICT","106 WEST MEEK STREET",ABINGDON,61410,1451,"106 WEST MEEK STREET",ABINGDON,61410,1451,KNOX,3094623129,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,3319,R_19,3319,1,R_19,0,R_19,0,R_19,0.0,R_19,1.83,R_19,0.15,R_19,1.98,R_19,34041,R_19,4149,R_19,0,R_19,12659,R_19,50849,R_19,-9,H_19,-9,H_19,-9,H_19,13708,R_19,0,R_19,149,R_19,13857,R_19,-9,H_19,83839,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,24512,R_19,31444,R_19,0,R_19,12008,R_19,1554,R_19,0,R_19,0,R_19,13,R_19,13,R_19,23,R_19,1300,R_19,5600,R_19,2300,R_19,743,R_19,11733,R_19,5310,R_19,622,R_19,11111,R_19,0,R_19,622,R_19,11733,R_19,1588,R_19,1690,R_19,88,R_19,88,R_19,0,R_19,437,R_19,437,R_19,0,R_19,8,R_19,861,R_19,3300,R_19,0,2019,3,1,0,0,0,-90.3987,40.80238,17,95,00113,49699,33,33,15.0,3022,1717,23660,1,A
IL,IL0002,30002,"ACORN PUBLIC LIBRARY DISTRICT","15624 SOUTH CENTRAL AVENUE","OAK FOREST",60452,3204,"15624 SOUTH CENTRAL AVENUE","OAK FOREST",60452,3204,COOK,7086873700,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,37332,R_19,37332,1,R_19,0,R_19,0,R_19,4.63,R_19,6.48,R_19,7.85,R_19,14.33,R_19,1081058,R_19,62981,R_19,0,R_19,63409,R_19,1207448,R_19,544268,R_19,139091,R_19,683359,R_19,87068,R_19,29289,R_19,17194,R_19,133551,R_19,324918,R_19,1141828,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,60275,R_19,42561,R_19,5301,R_19,7921,R_19,5127,R_19,1116,R_19,12,R_19,13,R_19,25,R_19,106,R_19,3220,R_19,106127,R_19,17945,R_19,8519,R_19,153155,R_19,54279,R_19,19134,R_19,134021,R_19,24545,R_19,43679,R_19,177700,R_19,16816,R_19,15434,R_19,651,R_19,316,R_19,108,R_19,9714,R_19,7158,R_19,706,R_19,21,R_19,20433,R_19,31975,ID19,60473,2019,3,2,0,0,0,-87.7562,41.60746,17,31,54638,5150233,21,21,8245.05,1000,1701,16980,0,A
IL,IL0003,30003,"ADDISON PUBLIC LIBRARY","4 FRIENDSHIP PLAZA",ADDISON,60101,2787,"4 FRIENDSHIP PLAZA",ADDISON,60101,2787,DUPAGE,6305433617,ME,CI,SO,Y,CI1,N,05/01/2018,04/30/2019,36942,R_19,36942,1,R_19,0,R_19,0,R_19,15.25,R_19,21.55,R_19,19.55,R_19,41.1,R_19,5199267,R_19,92858,R_19,11594,R_19,492906,R_19,5796625,R_19,2066150,R_19,631696,R_19,2697846,R_19,241230,R_19,241407,R_19,125844,R_19,608481,R_19,894514,R_19,4200841,R_19,0,R_19,0,R_19,0,R_19,11915,R_19,11915,R_19,128810,R_19,109149,R_19,55086,R_19,10825,R_19,22922,R_19,16975,R_19,1663,R_19,65,R_19,13,R_19,78,R_19,187,R_19,3425,R_19,297909,R_19,13172,R_19,11126,R_19,280081,R_19,116425,R_19,21821,R_19,258260,R_19,142772,R_19,164593,R_19,422853,R_19,2690,R_19,2005,R_19,1426,R_19,603,R_19,389,R_19,25083,R_19,12504,R_19,5830,R_19,88,R_19,67043,R_19,19531,R_19,174360,2019,3,1,0,0,0,-87.9935,41.93304,17,43,00243,922921,21,21,8403.03,3009,1708,16980,0,A
IL,IL0005,30005,"ALBION PUBLIC LIBRARY","6 NORTH FOURTH STREET",ALBION,62806,1221,"6 NORTH FOURTH STREET",ALBION,62806,1221,EDWARDS,6184453314,ME,CI,SO,Y,CI1,N,05/01/2018,04/30/2019,1988,R_19,1988,1,R_19,0,R_19,0,R_19,0.0,R_19,0.75,R_19,0.55,R_19,1.3,R_19,64214,R_19,5501,R_19,0,R_19,4586,R_19,74301,R_19,-9,H_19,-9,H_19,-9,H_19,6982,R_19,500,R_19,0,R_19,7482,R_19,-9,H_19,51880,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,14481,R_19,36730,R_19,121,R_19,28179,R_19,480,R_19,0,R_19,0,R_19,13,R_19,13,R_19,22,R_19,1488,R_19,2836,R_19,426,R_19,265,R_19,13671,R_19,5000,R_19,1377,R_19,12294,R_19,0,R_19,1377,R_19,13671,R_19,8506,R_19,13292,R_19,48,R_19,48,R_19,0,R_19,384,R_19,384,R_19,0,R_19,4,R_19,2200,R_19,233,R_19,-1,2019,3,1,0,0,0,-88.0562,38.37716,17,47,00568,6395,43,43,9571.0,2024,1715,-4,N,A
IL,IL0006,30006,"ALGONQUIN AREA PUBLIC LIBRARY DISTRICT","2600 HARNISH DRIVE",ALGONQUIN,60102,5900,"2600 HARNISH DRIVE",ALGONQUIN,60102,5900,MCHENRY,8474586060,ME,LD,MO,Y,OTH,N,07/01/2018,06/30/2019,40809,R_19,40809,1,R_19,1,R_19,0,R_19,16.0,R_19,19.38,R_19,29.59,R_19,48.97,R_19,6391736,R_19,86549,R_19,51011,R_19,117724,R_19,6647020,R_19,2114258,R_19,691208,R_19,2805466,R_19,242469,R_19,215413,R_19,142675,R_19,600557,R_19,1262074,R_19,4668097,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,665808,R_19,167384,R_19,19913,R_19,17520,R_19,10437,R_19,25066,R_19,31,R_19,37,R_19,13,R_19,50,R_19,338,R_19,6812,R_19,252459,R_19,55170,R_19,20127,R_19,889712,R_19,461607,R_19,59238,R_19,830474,R_19,49421,R_19,108659,R_19,939133,R_19,40260,R_19,32441,R_19,1283,R_19,838,R_19,85,R_19,34994,R_19,26690,R_19,1882,R_19,92,R_19,37612,R_19,21236,IG18,145445,2019,3,2,0,0,0,-88.3462,42.16128,17,111,00685,307774,21,21,8712.06,2015,1706,16980,0,A
IL,IL0007,30009,"ALPHA PARK PUBLIC LIBRARY DISTRICT","3527 SOUTH AIRPORT ROAD",BARTONVILLE,61607,1733,"3527 SOUTH AIRPORT ROAD",BARTONVILLE,61607,1733,PEORIA,3096973822,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,28436,R_19,28436,1,R_19,0,R_19,0,R_19,4.0,R_19,5.0,R_19,11.25,R_19,16.25,R_19,1106773,R_19,182065,R_19,21935,R_19,56256,R_19,1367029,R_19,686200,R_19,214029,R_19,900229,R_19,101573,R_19,27231,R_19,29149,R_19,157953,R_19,123035,R_19,1181217,R_19,112920,R_19,0,R_19,0,R_19,0,R_19,112920,R_19,112920,R_19,86107,R_19,8796,R_19,5225,R_19,4336,R_19,9187,R_19,2,R_19,3,R_19,13,R_19,16,R_19,1592,R_19,3380,R_19,119116,R_19,14590,R_19,9203,R_19,188008,R_19,49253,R_19,11687,R_19,176321,R_19,1421,R_19,13108,R_19,189429,R_19,22171,R_19,11627,R_19,529,R_19,367,R_19,66,R_19,10484,R_19,7670,R_19,635,R_19,34,R_19,16918,R_19,12534,R_19,108893,2019,3,1,0,0,0,-89.6804,40.64715,17,143,04039,179179,41,41,48.01,2012,1717,37900,0,A
IL,IL0008,30010,"ALSIP-MERRIONETTE PARK PUBLIC LIBRARY DISTRICT","11960 SOUTH PULASKI ROAD",ALSIP,60803,1169,"11960 SOUTH PULASKI ROAD",ALSIP,60803,1169,COOK,7083715666,ME,LD,SO,Y,OTH,N,07/01/2018,06/30/2019,22280,R_19,22280,1,R_19,0,R_19,0,R_19,9.41,R_19,9.41,R_19,13.25,R_19,22.66,R_19,2676059,R_19,113111,R_19,0,R_19,73645,R_19,2862815,R_19,1097183,R_19,315483,R_19,1412666,R_19,122000,R_19,110000,R_19,50000,R_19,282000,R_19,1044000,R_19,2738666,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,97733,R_19,47864,R_19,7746,R_19,27145,R_19,8258,R_19,1020,R_19,16,R_19,13,R_19,29,R_19,183,R_19,3472,R_19,183248,R_19,76254,R_19,6387,R_19,181061,R_19,62684,R_19,17708,R_19,163353,R_19,14112,R_19,31820,R_19,195173,R_19,22229,R_19,12146,R_19,607,R_19,417,R_19,57,R_19,12724,R_19,10357,R_19,443,R_19,76,R_19,33906,R_19,41494,IG18,402949,2019,3,2,0,0,0,-87.7197,41.67548,17,31,01010,5150233,21,21,8233.03,5000,1701,16980,0,A
IL,IL0009,30011,"ALTAMONT PUBLIC LIBRARY","121 WEST WASHINGTON AVENUE",ALTAMONT,62411,1451,"121 WEST WASHINGTON AVENUE",ALTAMONT,62411,1451,EFFINGHAM,6184835457,ME,CI,SO,Y,CI1,N,05/01/2018,04/30/2019,2319,R_19,2319,1,R_19,0,R_19,0,R_19,0.0,R_19,0.63,R_19,0.63,R_19,1.26,R_19,40660,R_19,3510,R_19,0,R_19,5388,R_19,49558,R_19,-9,H_19,-9,H_19,-9,H_19,5273,R_19,365,R_19,575,R_19,6213,R_19,-9,H_19,53627,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,21247,R_19,64909,R_19,324,R_19,0,R_19,788,R_19,0,R_19,15,R_19,13,R_19,28,R_19,13,R_19,1290,R_19,12962,R_19,755,R_19,450,R_19,11114,R_19,1092,R_19,335,R_19,10779,R_19,0,IG17,335,IT19,11114,IT19,2130,R_19,2963,R_19,20,R_19,17,R_19,0,R_19,420,R_19,350,R_19,0,R_19,4,R_19,910,R_19,46,R_19,-1,2019,3,2,0,0,0,-88.7488,39.06058,17,49,01049,34008,42,42,9503.0,3034,1715,20820,1,A
IL,IL0010,30568,"RANSOM MEMORIAL PUBLIC LIBRARY","110 EAST MAIN STREET",ALTONA,61414,9380,"110 EAST MAIN STREET",ALTONA,61414,9380,KNOX,3094846193,ME,CI,SO,Y,CI1,N,04/01/2018,03/31/2019,770,R_19,770,1,R_19,0,R_19,0,R_19,0.0,R_19,0.5,R_19,0.0,R_19,0.5,R_19,23880,R_19,2001,R_19,0,R_19,3280,R_19,29161,R_19,-9,H_19,-9,H_19,-9,H_19,2650,R_19,140,R_19,130,R_19,2920,R_19,-9,H_19,27315,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,18017,R_19,0,R_19,1,R_19,0,R_19,575,R_19,0,R_19,0,R_19,13,R_19,13,R_19,17,R_19,1050,R_19,4900,R_19,370,R_19,648,R_19,8075,R_19,5300,R_19,0,R_19,8075,R_19,0,R_19,0,R_19,8075,R_19,0,R_19,80,R_19,22,R_19,12,R_19,2,R_19,433,R_19,325,R_19,18,R_19,5,R_19,2700,R_19,2800,R_19,-1,2019,3,1,0,0,0,-90.1637,41.1145,17,95,01140,49699,42,42,1.0,2028,1717,23660,1,A
IL,IL0011,30529,"PANKHURST MEMORIAL LIBRARY","3 SOUTH JEFFERSON AVENUE",AMBOY,61310,1431,"3 SOUTH JEFFERSON AVENUE",AMBOY,61310,1431,LEE,8158573925,ME,CI,SO,Y,CI1,N,05/01/2018,04/30/2019,2500,R_19,2500,1,R_19,0,R_19,0,R_19,0.0,R_19,0.6,R_19,1.0,R_19,1.6,R_19,32775,R_19,17353,R_19,0,R_19,4842,R_19,54970,R_19,-9,H_19,-9,H_19,-9,H_19,4144,R_19,0,R_19,731,R_19,4875,R_19,-9,H_19,42873,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,0,R_19,14710,R_19,0,R_19,28,R_19,0,R_19,641,R_19,0,R_19,0,R_19,13,R_19,13,R_19,2,R_19,1768,R_19,4958,R_19,0,R_19,405,R_19,9792,R_19,2759,R_19,0,R_19,9792,R_19,0,R_19,0,R_19,9792,R_19,1097,R_19,868,R_19,35,R_19,15,R_19,0,R_19,513,R_19,448,R_19,0,R_19,6,R_19,519,R_19,0,IG17,-1,2019,3,2,0,0,0,-89.3278,41.71487,17,103,01270,34096,42,42,8.0,2038,1716,19940,1,A
